Variable / Field Name	Data Type	Description	Unit / Values	Remark
med_empagliflozin_P	object	มีการใช้ยา empagliflozin จาก baseline ที่ period P	{NaT, 1}	
med_gemigliptin_P	object	มีการใช้ยา gemigliptin จาก baseline ที่ period P	{NaT, 1}	
med_glibenclamide_P	object	มีการใช้ยา glibenclamide จาก baseline ที่ period P	{NaT, 1}	
med_gliclazide_P	object	มีการใช้ยา gliclazide จาก baseline ที่ period P	{NaT, 1}	
med_glimepiride_P	object	มีการใช้ยา glimepiride จาก baseline ที่ period P	{NaT, 1}	
med_glipizide_P	object	มีการใช้ยา glipizide จาก baseline ที่ period P	{NaT, 1}	
med_insulin_P	object	มีการใช้อินซูลิน จาก baseline ที่ period P	{NaT, 1}	
med_linagliptin_P	object	มีการใช้ยา linagliptin จาก baseline ที่ period P	{NaT, 1}	
med_liraglutide_P	object	มีการใช้ยา liraglutide จาก baseline ที่ period P	{NaT, 1}	
med_metformin_P	object	มีการใช้ยา metformin จาก baseline ที่ period P	{NaT, 1}	
med_pioglitazone_P	object	มีการใช้ยา pioglitazone จาก baseline ที่ period P	{NaT, 1}	
med_semaglutide_P	object	มีการใช้ยา semaglutide จาก baseline ที่ period P	{NaT, 1}	
med_sitagliptin_P	object	มีการใช้ยา sitagliptin จาก baseline ที่ period P	{NaT, 1}	
med_trelagliptin_P	object	มีการใช้ยา trelagliptin จาก baseline ที่ period P	{NaT, 1}	
med_gliclazide	int64	ตัวบ่งชี้การใช้ยา gliclazide	{0, 1}	
med_gemigliptin	int64	ตัวบ่งชี้การใช้ยา gemigliptin	{0, 1}	
med_pioglitazone	int64	ตัวบ่งชี้การใช้ยา pioglitazone	{0, 1}	
med_acarbose	int64	ตัวบ่งชี้การใช้ยา acarbose	{0, 1}	
med_linagliptin	int64	ตัวบ่งชี้การใช้ยา linagliptin	{0, 1}	
med_empagliflozin	int64	ตัวบ่งชี้การใช้ยา empagliflozin	{0, 1}	
med_insulin	int64	ตัวบ่งชี้การใช้อินซูลิน	{0, 1}	
med_glipizide	int64	ตัวบ่งชี้การใช้ยา glipizide	{0, 1}	
med_dulaglutide	int64	ตัวบ่งชี้การใช้ยา dulaglutide	{0, 1}	
med_semaglutide	int64	ตัวบ่งชี้การใช้ยา semaglutide	{0, 1}	
med_dapagliflozin	int64	ตัวบ่งชี้การใช้ยา dapagliflozin	{0, 1}	
med_metformin	int64	ตัวบ่งชี้การใช้ยา metformin	{0, 1}	
med_sitagliptin	int64	ตัวบ่งชี้การใช้ยา sitagliptin	{0, 1}	
med_trelagliptin	int64	ตัวบ่งชี้การใช้ยา trelagliptin	{0, 1}	
med_liraglutide	int64	ตัวบ่งชี้การใช้ยา liraglutide	{0, 1}	
med_glibenclamide	int64	ตัวบ่งชี้การใช้ยา glibenclamide	{0, 1}	
med_glimepiride	int64	ตัวบ่งชี้การใช้ยา glimepiride	{0, 1}	
